focal_event,location
A_01_07A19,Riverside Walk
A_01_11A19,Watchman Campground
A_01_12A19,Watchman Campground
A_01_1A19,Riverside Walk
A_01_2A19,Riverside Walk
A_01_31J19,Riverside Walk
A_01_6A19,Riverside Walk
A_02_07A19,Riverside Walk
A_02_11A19,Watchman Campground
A_02_1A19,Riverside Walk
A_02_2A19,Riverside Walk
A_02_31J19,Riverside Walk
A_02_4A19,Riverside Walk
A_03_07A19,Riverside Walk
A_03_11A19,Watchman Campground
A_03_12A19,Watchman Campground
A_03_1A19,Riverside Walk
A_03_2A19,Riverside Walk
A_03_31J19,Riverside Walk
A_03_6A19,Riverside Walk
A_04_07A19,Riverside Walk
A_04_08A19,Watchman Campground
A_04_11A19,Watchman Campground
A_04_12A19,Watchman Campground
A_04_1A19,Riverside Walk
A_04_2A19,Riverside Walk
A_04_31J19,Riverside Walk
A_05_08A19,Watchman Campground
A_05_10A19,Watchman Campground
A_05_11A19,Watchman Campground
A_05_12A19,Watchman Campground
A_05_1A19,Riverside Walk
A_05_2A19,Riverside Walk
A_05_31J19,Riverside Walk
A_06_07A19,Riverside Walk
A_06_1A19,Riverside Walk
A_07_06A19,Riverside Walk
A_07_08A19,Watchman Campground
A_07_10A19,Watchman Campground
A_07_12A19,Watchman Campground
A_08_10A19,Watchman Campground
A_08_11A19,Watchman Campground
A_08_12A19,Watchman Campground
A_09_11A19,Watchman Campground
A_09_12A19,Watchman Campground
A_10_10A19,Watchman Campground
A_11_11A19,Watchman Campground
Z_01_01A19,Riverside Walk
Z_01_10A19,Watchman Campground
Z_01_11A19,Watchman Campground
Z_01_12A19,Watchman Campground
Z_01_2A19,Riverside Walk
Z_01_31J19,Riverside Walk
Z_01_3A19,Riverside Walk
Z_01_4A19,Riverside Walk
Z_01_6A19,Riverside Walk
Z_01_7A19,Riverside Walk
Z_01_8A19,Watchman Campground
Z_02_01A19,Riverside Walk
Z_02_10A19,Watchman Campground
Z_02_12A19,Watchman Campground
Z_02_2A19,Riverside Walk
Z_02_31J19,Riverside Walk
Z_02_4A19,Riverside Walk
Z_02_6A19,Riverside Walk
Z_02_7A19,Riverside Walk
Z_03_01A19,Riverside Walk
Z_03_12A19,Watchman Campground
Z_03_2A19,Riverside Walk
Z_03_31J19,Riverside Walk
Z_03_6A19,Riverside Walk
Z_03_7A19,Riverside Walk
Z_03_8A19,Watchman Campground
Z_04_11A19,Watchman Campground
Z_04_12A19,Watchman Campground
Z_04_1A19,Riverside Walk
Z_04_2A19,Riverside Walk
Z_04_6A19,Riverside Walk
Z_04_7A19,Riverside Walk
Z_05_10A19,Watchman Campground
Z_06_6A19,Riverside Walk
Z_07_6A19,Riverside Walk
Z_08_6A19,Riverside Walk
Z_09_6A19,Riverside Walk